name,code,productType,unit,taxCategory,gstRate,hsnCode,brand,category,sellingPrice,costPriceExGst,openingStock
PRIDE 2T -40 ML,LUB-PR2T40M,LUBRICANT,Nos,GST,18,27101972,HP,Lubricants,18,12.71,80
PRIDE SCOOTER PLUS 10W 30 (800ML),LUB-PRSCPL103080,LUBRICANT,Nos,GST,18,27101972,HP,Lubricants,400,322.03,6
PRIDE 4T PLUS 20W-50 (1 LTR),LUB-PR4TPL201L,LUBRICANT,Nos,GST,18,27101972,HP,Lubricants,480,381.36,1
CARGO POWER 1 Ltr,LUB-CAPO1L,LUBRICANT,Nos,GST,18,27101972,,Lubricants,350,271.19,4
CARGO POWER (500ML),LUB-CAPO,LUBRICANT,Nos,GST,18,27101972,,Lubricants,170,141.53,4
PRIDE 4T PLUS 10W-30 (900 LTR),LUB-PR4TPL10900L,LUBRICANT,Nos,GST,18,27101972,HP,Lubricants,430,338.98,1
ADBLUE ECOPRO (20L),LUB-ADEC,LUBRICANT,Nos,GST,18,31021000,Ecopro,Lubricants,1400,1144.07,10
Ad Blue 5L,LUB-ADBL5L,LUBRICANT,Nos,GST,18,31021000,,Lubricants,550,423.73,2
Ad Blue 10L,LUB-ADBL10L,LUBRICANT,Nos,GST,18,31021000,,Lubricants,740,601.69,5
Break fluid 250 ml,LUB-BRFL250M,LUBRICANT,Nos,GST,18,38190010,,Lubricants,140,116.95,1
KOOL GURD (1L),LUB-KOGU1L,LUBRICANT,Nos,GST,18,38200000,HP,Lubricants,310,256.78,3
GLIDE ATF (500ML),LUB-GLATML,LUBRICANT,Nos,GST,18,27101979,HP,Lubricants,210,176.27,5
GLIDE ATF (1L),LUB-GLAT1L,LUBRICANT,Nos,GST,18,27101979,HP,Lubricants,400,336.44,7
BATTERY WATER (5L),ACC-BAWA5L,ACCESSORY,Nos,GST,18,220190,,Accessories,130.62,104.76,10
BATTERY WATER (1L),ACC-BAWA1L,ACCESSORY,Nos,GST,18,220190,,Accessories,25,16.95,5
COM/HP/146 HPMILCY TOP UP (1L),LUB-COHPTOUP1L,LUBRICANT,Nos,GST,18,27101980,HP,Lubricants,430,360.17,3
MILTEX PETROL CORR BOX (5ml),LUB-MIPECOBO,LUBRICANT,Nos,GST,18,38119000,Miltex,Lubricants,15,10.17,176
MILTEX DIESEL CORR BOX (10ML),LUB-MIDICOBO,LUBRICANT,Nos,GST,18,38119000,Miltex,Lubricants,30,21.19,62
Miltex Petrol Fuel Addittive (40ml),LUB-MIPEFUAD12,LUBRICANT,Nos,GST,18,38119000,Miltex,Lubricants,210,152.54,192
MILTEX DIESEL Fuel Addittive (50ML),LUB-MIDIFUAD,LUBRICANT,Nos,GST,18,38119000,Miltex,Lubricants,30,152.54,188
